Bucket 0 [0.]	0:110	0:113	0:121	0:130	0:138	0:141	0:142	0:143	0:146	0:148
Bucket 194 [0.376953->0.378906]	500:6832	558:21137	599:33884	748:47811	872:29412	872:29444	872:29473	1544:16415	1960:66077	1996:56404
Bucket 195 [0.378906->0.380859]	498:48331	505:55183	542:48409	808:28095	811:17039	836:60793	838:19732	862:32468	862:32471	883:56753
Bucket 196 [0.380859->0.382812]	440:35953	485:64625	876:48735	893:54070	896:43148	903:51296	903:51301	903:51325	1953:54052	1985:22830
Bucket 197 [0.382812->0.384766]	440:35936	602:22503	620:55576	841:7993	868:10217	872:29377	872:29378	876:48640	876:48732	878:7433
Bucket 198 [0.384766->0.386719]	527:4487	527:4488	532:53035	532:53041	602:22497	747:17785	747:17792	869:40276	872:29443	872:29448
Bucket 199 [0.386719->0.388672]	527:4485	747:17799	862:32314	869:40275	882:26747	882:26751	885:15716	1953:53931	1953:53934	1960:66130
Bucket 200 [0.388672->0.390625]	500:6815	812:47099	849:46214	872:29477	876:48644	885:15684	886:45867	895:13037	947:60235	1960:66058
Bucket 201 [0.390625->0.392578]	502:66749	502:66751	502:66752	620:55564	808:28116	848:16084	848:16116	878:7576	885:15745	893:54018
Bucket 202 [0.392578->0.394531]	707:31991	848:16145	849:46037	849:46197	876:48595	882:26839	882:26842	885:15649	885:15650	946:30466
Bucket 203 [0.394531->0.396484]	517:9210	808:28192	812:47175	849:46031	861:2105	885:15715	885:15720	885:15721	1527:5431	2034:7664
Bucket 204 [0.396484->0.398438]	498:48314	502:66713	801:20218	801:20225	866:51249	873:59591	885:15672	885:15744	1545:47183	1843:27574
Bucket 205 [0.398438->0.400391]	471:51065	607:71067	616:37067	848:15988	848:16049	848:16050	872:29336	873:59533	882:26702	886:45778
Bucket 206 [0.400391->0.402344]	842:38042	848:16144	869:40280	876:48578	878:7577	878:7582	882:26685	885:15749	886:45746	972:3793
Bucket 207 [0.402344->0.404297]	848:15972	848:16115	848:16120	848:16121	869:40360	878:7426	878:7428	886:45807	893:54024	896:43102
Bucket 208 [0.404297->0.40625]	768:41033	868:10227	893:54019	896:43097	963:36214	1790:28787	1801:59196	1843:27600	2423:39293	2714:38303
Bucket 209 [0.40625->0.408203]	474:39490	848:16149	862:32331	862:32373	870:70342	870:70355	888:4819	943:41955	1118:56643	2068:38331
Bucket 210 [0.408203->0.410156]	805:39253	808:28126	812:47100	812:47109	812:47116	845:27972	849:46059	868:10231	870:70345	886:45711
Bucket 211 [0.410156->0.412109]	744:28951	802:50255	802:50262	808:28117	808:28133	868:10222	883:56808	1120:15948	1123:5389	1124:35522
Bucket 212 [0.412109->0.414062]	592:26701	845:27998	883:56812	886:45777	886:45782	886:45783	886:45806	1113:6951	1134:34014	1135:64150
Bucket 213 [0.414062->0.416016]	468:62662	532:53037	602:22500	738:51290	799:61327	849:46043	855:24113	865:21238	870:70353	873:59435
Bucket 214 [0.416016->0.417969]	799:61334	805:39158	869:40287	873:59501	873:59502	873:59506	873:59530	876:48435	876:48437	876:48579
Bucket 215 [0.417969->0.419922]	805:39155	849:46198	873:59470	873:59507	888:4825	893:53937	896:43015	1930:58071	2032:46951	2034:7445
Bucket 216 [0.419922->0.421875]	878:7631	883:56603	883:56605	888:4820	1051:58823	1750:19803	1841:67025	1953:54046	1995:26009	2141:53751
Bucket 217 [0.421875->0.423828]	873:59535	895:13178	895:13181	1930:57939	2094:26994	2094:27025	2187:51007	2423:39523	2714:38313	2900:50188
Bucket 218 [0.423828->0.425781]	599:33891	747:17793	848:16072	853:65118	878:7635	883:56763	886:45665	886:45667	2080:2197	2263:62136
Bucket 219 [0.425781->0.427734]	744:28949	878:7723	878:7726	888:4812	895:13086	963:36202	1854:60099	2094:26967	2196:24485	2214:71730
Bucket 220 [0.427734->0.429688]	849:46039	861:2185	862:32315	870:70348	870:70350	895:13090	2176:16687	2187:50989	2187:51020	2196:24454
Bucket 221 [0.429688->0.431641]	542:48525	849:46040	849:46048	878:7431	1394:12747	2041:19611	2186:20629	2714:38834	2802:38902	2903:42328
Bucket 222 [0.431641->0.433594]	748:47813	849:46256	883:56746	893:54073	895:13041	896:43151	1078:63567	1114:37500	1863:31879	2167:43293
Bucket 223 [0.433594->0.435547]	311:33569	620:55556	848:15996	849:46200	861:2099	1162:70542	1829:4374	1846:17968	2080:2473	2167:43287
Bucket 224 [0.435547->0.4375]	602:22486	848:15987	849:46100	849:46101	849:46166	849:46171	849:46172	849:46195	866:51241	868:10230
Bucket 225 [0.4375->0.439453]	824:3566	849:46196	876:48516	876:48548	882:26686	888:4871	889:34882	1854:60037	1923:46355	1995:25596
Bucket 226 [0.439453->0.441406]	848:15985	862:32217	862:32218	873:59378	876:48577	882:26623	882:26655	895:13024	1995:25827	2032:46988
Bucket 227 [0.441406->0.443359]	607:71074	849:46135	849:46167	862:32283	862:32288	862:32289	862:32312	882:26684	888:4829	893:54165
Bucket 228 [0.443359->0.445312]	596:45288	866:51325	868:10239	876:48553	888:4674	1989:44074	2094:26971	2098:48477	2100:9057	2102:69911
Bucket 229 [0.445312->0.447266]	532:52931	862:32252	862:32284	862:32313	862:32317	876:48481	876:48482	876:48547	876:48552	876:48576
Bucket 230 [0.447266->0.449219]	849:46046	861:2098	1080:29146	1277:7984	1281:27856	1282:58036	1284:17554	1285:47735	1287:7257	1288:37439
Bucket 231 [0.449219->0.451172]	450:30954	532:52925	596:45285	853:65128	866:51251	876:48581	882:26588	882:26589	888:4874	893:54028
Bucket 232 [0.451172->0.453125]	872:29323	882:26659	882:26660	1194:26077	1198:45791	1200:5200	1207:14501	2143:14267	2144:44707	2146:5374
Bucket 233 [0.453125->0.455078]	532:53042	607:71078	747:17796	750:6644	849:46055	882:26654	882:26683	1201:35356	1202:65512	1204:24926
Bucket 234 [0.455078->0.457031]	539:59993	872:29324	878:7628	882:26688	888:4969	899:32043	1302:56677	1308:36144	1311:25885	1312:56074
Bucket 235 [0.457031->0.458984]	755:55539	866:51256	866:51258	869:40288	888:4966	1999:46907	2001:7358	2003:68152	2094:27024	2423:38831
Bucket 236 [0.458984->0.460938]	602:22489	613:48310	765:52157	826:63494	841:7928	841:7935	849:46036	861:2094	868:10218	883:56597
Bucket 237 [0.460938->0.462891]	855:24114	862:32152	865:21239	866:51257	888:4676	888:4813	895:13083	1372:53527	1374:13162	1378:33218
Bucket 238 [0.462891->0.464844]	613:48311	868:10220	1268:38938	1269:69114	1271:28615	1279:68342	2080:2250	2173:25524	2187:51019	2196:24484
Bucket 239 [0.464844->0.466797]	517:9222	595:15199	599:33886	760:3240	870:70340	872:29317	883:56747	1078:63695	1078:63701	1449:63041
Bucket 240 [0.466797->0.46875]	607:71069	843:68774	1375:43370	2094:27020	2123:7028	2146:5351	2154:48412	2156:9065	2157:39509	2158:69953
Bucket 241 [0.46875->0.470703]	607:71076	842:37977	842:37984	872:29319	1078:63668	1080:22569	1377:3009	1841:67079	2113:3492	2125:67896
Bucket 242 [0.470703->0.472656]	450:30933	869:40292	878:7420	878:7422	883:56716	893:53869	895:12883	1078:63648	1605:51396	1771:53670
Bucket 243 [0.472656->0.474609]	868:10228	883:56684	883:56745	1078:63640	1322:55522	1329:65247	1334:14604	2169:3976	2187:51015	2196:24480
Bucket 244 [0.474609->0.476562]	532:52923	811:17069	811:17076	861:2111	973:33883	994:59508	1228:42548	1230:1996	1232:62326	1234:21779
Bucket 245 [0.476562->0.478516]	824:3694	824:3700	848:15992	856:54131	878:7419	966:25396	1217:13417	1218:43578	1221:33175	1222:63337
Bucket 246 [0.478516->0.480469]	851:7747	889:34937	994:59501	994:59504	994:59506	994:59509	994:59510	994:59511	994:59518	1220:3013
Bucket 247 [0.480469->0.482422]	848:15998	866:51240	878:7570	883:56649	883:56650	893:54012	896:43090	994:59502	994:59505	994:59507
Bucket 248 [0.482422->0.484375]	824:3667	826:63762	866:51253	883:56715	883:56744	889:34941	889:35029	895:13025	987:50976	1339:64781
Bucket 249 [0.484375->0.486328]	824:3647	883:56720	883:56721	889:35032	1715:64559	1717:24640	1718:54951	1730:16697	1995:25669	2008:19480
Bucket 250 [0.486328->0.488281]	824:3639	883:56608	1760:21554	1790:27107	1854:60163	2080:2291	2146:5415	2154:48476	2156:9129	2157:39573
Bucket 251 [0.488281->0.490234]	869:40286	870:70344	873:59377	876:48431	883:56749	886:45661	888:4750	888:4782	895:12962	895:12994
Bucket 252 [0.490234->0.492188]	502:66728	613:48308	738:51278	843:68820	862:32165	869:40277	878:7539	888:4811	1056:6505	1877:55157
Bucket 253 [0.492188->0.494141]	861:2102	878:7507	878:7568	889:34892	895:12927	895:13023	1449:63046	1760:21341	2068:38281	2068:38384
Bucket 254 [0.494141->0.496094]	849:46049	862:32171	862:32173	862:32176	872:29325	873:59381	889:34875	895:12928	910:59585	1760:21355
Bucket 255 [0.496094->0.498047]	596:45274	885:15603	885:15605	888:4715	888:4716	888:4781	888:4787	888:4810	895:12993	895:12998
Bucket 256 [0.498047->0.5]	596:45271	599:33784	613:48319	805:39188	878:7472	878:7543	883:56598	888:4786	895:13022	1730:16444
Bucket 257 [0.5->0.501953]	758:44400	805:39195	818:25075	878:7473	878:7538	878:7544	878:7567	880:67637	888:4815	895:13027
Bucket 258 [0.501953->0.503906]	539:60001	849:46042	873:59396	893:53949	893:53981	896:43027	896:43059	1449:63044	1730:16450	1733:6815
Bucket 259 [0.503906->0.505859]	849:46047	880:67631	880:67633	880:67635	880:67638	880:67639	880:67640	880:67647	880:67649	880:67650
Bucket 260 [0.505859->0.507812]	849:46051	873:59382	878:7572	880:67630	880:67634	880:67636	880:67641	880:67642	880:67643	880:67644
Bucket 261 [0.507812->0.509766]	861:2109	1733:6798	1760:21412	1989:43951	1989:44131	1996:56054	1996:56055	1996:56057	1996:56058	1996:56059
Bucket 262 [0.509766->0.511719]	866:51263	1056:6503	1733:6853	1758:61275	2396:13613	2423:37706	2423:37746	2423:37748	2423:37752	2423:37762
Bucket 263 [0.511719->0.513672]	378:6985	607:71073	1733:6924	2332:63047	2423:37701	2423:37878	2423:37896	2714:38117	2714:38972	2714:39430
Bucket 264 [0.513672->0.515625]	861:2113	870:70417	893:53914	893:53915	893:53980	893:53985	893:53986	893:54009	896:42992	896:42993
Bucket 265 [0.515625->0.517578]	848:15999	878:7421	882:26542	882:26544	1857:50420	2332:63056	2423:37584	2802:39422	2803:69779	2948:27278
Bucket 266 [0.517578->0.519531]	546:66860	554:2486	869:40279	889:34934	893:54014	896:43092	1274:18297	1297:6581	1319:65764	1841:67125
Bucket 267 [0.519531->0.521484]	407:62839	552:43915	862:32164	888:4669	888:4671	2098:48407	2100:8987	2102:69841	2104:30426	2105:60854
Bucket 268 [0.521484->0.523438]	203:56942	334:10549	606:41085	866:51242	872:29338	886:45670	2044:10480	2332:62944	2946:66051	2948:28769
Bucket 269 [0.523438->0.525391]	873:59385	889:34739	893:53873	896:42951	987:50972	2332:62976	2714:38330	2714:38904	2944:4992	2944:5572
Bucket 270 [0.525391->0.527344]	607:71059	755:55542	764:22129	987:50997	987:50998	1324:15092	1750:19606	2332:62932	2944:5101	2948:28806
Bucket 271 [0.527344->0.529297]	760:3238	869:40298	1318:35573	1359:64002	1387:2792	2714:38241	2714:38420	2802:39463	2808:23495	2948:28585
Bucket 272 [0.529297->0.53125]	872:29320	895:12888	1255:50108	1337:4387	1345:44366	1351:23971	1354:13781	1355:43983	1367:3277	1562:57663
Bucket 273 [0.53125->0.533203]	205:15064	205:15067	440:35976	440:35977	599:33776	862:32159	1238:41569	1248:40641	1265:49266	1368:33483
Bucket 274 [0.533203->0.535156]	407:62862	440:35974	495:59941	495:59942	596:45169	617:66929	861:2117	1241:31198	1245:51001	1247:10471
Bucket 275 [0.535156->0.537109]	878:7418	902:21183	1244:20832	1388:33004	1575:48549	1995:25622	1995:25623	1995:25624	1995:25625	1995:25626
Bucket 276 [0.537109->0.539062]	532:52927	861:2101	902:21242	930:54367	1358:33799	1389:63216	1996:55991	1998:16438	1999:46834	2001:7285
Bucket 277 [0.539062->0.541016]	405:2999	596:45175	930:54426	987:50939	987:50967	1258:39764	1614:21832	1614:21833	1614:21834	1614:21835
Bucket 278 [0.541016->0.542969]	396:38146	407:62851	613:48322	876:48424	916:37727	987:50944	1003:27274	1361:23620	1364:13446	1369:63689
Bucket 279 [0.542969->0.544922]	882:26537	883:56599	916:37786	1010:35886	1227:12384	1242:61366	1259:69937	1479:63675	1605:51098	2173:25541
Bucket 280 [0.544922->0.546875]	396:38098	477:27925	748:47814	866:51244	952:8572	954:68736	957:57852	1448:32810	1477:3155	1477:3185
Bucket 281 [0.546875->0.548828]	396:38123	440:35924	443:24274	866:51239	866:51248	889:34876	952:8513	954:68677	957:57911	1477:3178
Bucket 282 [0.548828->0.550781]	378:6983	607:71062	799:61292	851:5638	862:32160	888:4670	1043:19090	1448:32838	1477:3160	1477:3174
Bucket 283 [0.550781->0.552734]	288:56913	396:38135	405:2974	799:61318	882:26535	1448:32813	1481:23412	1481:23426	1481:23427	1512:54787
Bucket 284 [0.552734->0.554688]	440:35934	758:44397	799:61393	849:46032	862:32167	1487:3474	1508:34461	1915:3907	2689:71516	2946:66026
Bucket 285 [0.554688->0.556641]	399:26381	412:9526	862:32154	902:21231	1050:27842	1507:4213	2011:10430	2173:25572	2479:46676	2948:27336
Bucket 286 [0.556641->0.558594]	405:3011	885:15598	889:34737	930:54415	1770:23378	1857:50521	2094:26958	2094:26959	2094:26960	2094:26961
Bucket 287 [0.558594->0.560547]	416:27762	460:26006	848:15980	883:56610	889:34845	889:34874	902:21244	957:57900	1447:2612	1517:4663
Bucket 288 [0.560547->0.5625]	376:48646	443:24263	866:51252	889:34732	889:34734	889:34813	930:54428	1003:27263	1010:35875	1488:33732
Bucket 289 [0.5625->0.564453]	848:15981	873:59384	916:37775	1074:43612	1074:43613	1447:2587	1447:2602	1725:65889	1744:38731	1864:62098
Bucket 290 [0.564453->0.566406]	747:17790	760:3235	848:16004	876:48428	889:34844	889:34873	952:8561	954:68725	1447:2605	1447:2626
Bucket 291 [0.566406->0.568359]	397:68036	889:34778	889:34779	889:34849	957:57913	1050:27840	1071:54250	1071:54251	1447:2582	1447:2601
Bucket 292 [0.568359->0.570312]	500:6855	500:6856	889:34850	952:8574	1447:2560	1448:32822	1494:13776	1494:13783	1614:21892	1770:23129
Bucket 293 [0.570312->0.572266]	500:6853	916:37788	954:68738	1477:3161	1488:33716	1494:13773	1494:13797	1877:54977	2143:14281	2144:44721
Bucket 294 [0.572266->0.574219]	869:40291	869:40293	889:34878	1043:19077	1494:13772	1770:23058	1770:23062	1770:23093	1968:8069	1972:29256
Bucket 295 [0.574219->0.576172]	869:40283	888:4666	1481:23413	2210:50321	2946:66472	2948:27173	2948:27265	2948:27354	2948:27476	2993:13239
Bucket 296 [0.576172->0.578125]	440:35933	440:35938	498:48354	498:48355	505:55206	505:55207	602:22390	849:46061	900:62102	1050:27829
Bucket 297 [0.578125->0.580078]	498:48352	848:16000	861:2104	963:36207	1003:27276	1770:23046	1770:23048	1996:56181	1998:16628	1999:47024
Bucket 298 [0.580078->0.582031]	380:66809	396:38096	485:64665	485:64666	505:55204	848:16003	848:16005	851:6067	876:48430	1010:35888
Bucket 299 [0.582031->0.583984]	410:51145	485:64663	744:28952	861:2121	1447:2588	2094:27000	2206:28454	2232:18976	2946:66193	2948:27504
Bucket 300 [0.583984->0.585938]	861:2100	866:51250	872:29327	1770:23143	1968:7972	1972:29159	1995:25683	2948:27219	2948:27225	2948:27275
Bucket 301 [0.585938->0.587891]	862:32178	1488:33700	1770:23148	2094:26973	2151:57478	2946:66057	2946:66191	3001:59490	3016:21745	3024:68247
Bucket 302 [0.587891->0.589844]	606:41012	862:32157	882:26538	883:56600	1051:58529	1770:23114	1770:23118	1998:16531	1999:46927	2001:7378
Bucket 303 [0.589844->0.591797]	606:40994	606:41004	606:41006	606:41011	606:41018	606:41022	606:41025	606:41026	606:41028	606:41032
Bucket 304 [0.591797->0.59375]	288:56917	329:64116	606:41030	606:41038	869:40285	1051:58491	1272:58792	1770:23053	1770:23066	1770:23068
Bucket 305 [0.59375->0.595703]	606:40995	606:40996	606:40998	606:40999	606:41000	606:41001	606:41002	606:41003	606:41005	606:41007
Bucket 306 [0.595703->0.597656]	599:33780	755:55536	799:61296	883:56604	886:45672	895:12886	1768:62887	1770:23073	2210:50256	2450:61343
Bucket 307 [0.597656->0.599609]	288:56915	606:41079	1770:23056	1770:23070	1770:23071	1936:39383	3003:21505	3052:32029	3124:53148	3124:53377
Bucket 308 [0.599609->0.601562]	397:68021	579:42282	885:15610	1968:7870	1972:29057	2181:68697	2197:54911	2946:67398	2946:67423	2993:13149
Bucket 309 [0.601562->0.603516]	536:71343	872:29332	1968:8003	1972:29190	2181:68691	2423:39849	2540:10615	2714:38155	2948:27744	2993:13052
Bucket 310 [0.603516->0.605469]	873:59390	1770:23072	2167:43300	2167:43318	2183:29584	2197:54946	2442:17090	2442:17155	2604:68208	2604:68210
Bucket 311 [0.605469->0.607422]	405:3022	1995:25588	1995:25589	1995:25590	1995:25591	1995:25592	1995:25593	1995:25594	1995:25595	1998:16562
Bucket 312 [0.607422->0.609375]	613:48327	843:68857	872:29328	987:50987	1985:22975	1986:53367	1996:56115	2368:59960	2630:64237	2871:58357
Bucket 313 [0.609375->0.611328]	799:61317	843:68980	843:69037	1006:16603	1731:46702	1731:46703	1864:62258	2167:43331	2219:23706	3124:53617
Bucket 314 [0.611328->0.613281]	848:15991	2038:28711	2154:48418	2156:9071	2157:39515	2158:69959	2160:30617	2161:61062	2164:52170	2183:29660
Bucket 315 [0.613281->0.615234]	412:9511	607:71061	862:32156	882:26543	2123:7034	2127:28517	2429:20313	3007:45191	3052:32351	3052:32352
Bucket 316 [0.615234->0.617188]	885:15600	1730:16368	1731:46684	2125:67902	2128:58952	2429:20310	2437:64509	2978:50865	3153:49055	3153:49238
Bucket 317 [0.617188->0.619141]	490:11556	1097:29603	2299:57956	2353:2680	2364:38081	2564:44540	2971:35280	3023:38488	3027:61696	3030:54200
Bucket 318 [0.619141->0.621094]	329:64107	825:33885	866:51261	2324:19339	2429:20311	2576:11516	3076:71725	3076:71728	3163:59160	3185:38067
Bucket 319 [0.621094->0.623047]	468:62664	861:2108	876:48429	876:48442	882:26549	2143:14277	2144:44717	2946:67335	3023:37733	3023:37759
Bucket 320 [0.623047->0.625]	861:2097	866:51238	1915:4067	1968:7896	1968:7897	1972:29083	1972:29084	2299:58032	2504:10334	2504:10335
Bucket 321 [0.625->0.626953]	880:67617	987:50989	2331:32542	2355:63806	2504:10349	2504:10353	2540:10624	2790:69819	2946:67249	2970:6272
Bucket 322 [0.626953->0.628906]	325:46014	885:15604	1827:44271	2003:68096	2133:10602	2210:50129	2437:64441	2442:17131	2946:66295	3016:21770
Bucket 323 [0.628906->0.630859]	861:2123	1996:56008	1996:56009	1998:16455	1998:16456	1999:46851	1999:46852	2001:7302	2001:7303	2002:37699
Bucket 324 [0.630859->0.632812]	1841:67285	1989:43948	2146:5357	2324:19274	2485:29936	2488:21576	3117:37541	3153:49075	3163:58782	3163:58846
Bucket 325 [0.632812->0.634766]	1743:8416	1743:8419	1744:38735	1744:38738	1912:13159	1912:13160	2324:19235	2355:63809	2485:29937	2946:66082
Bucket 326 [0.634766->0.636719]	862:32163	882:26536	882:26539	1830:34629	1912:13301	2133:10699	2183:29457	2488:21579	2946:66260	2946:67265
Bucket 327 [0.636719->0.638672]	298:51124	825:33696	873:59394	1912:13149	2355:63738	2424:67829	2871:58487	2946:65884	2946:66049	2948:27314
Bucket 328 [0.638672->0.640625]	298:51138	308:45418	1071:54242	2437:64553	2450:61477	2475:24535	2482:38346	2485:29945	2946:66131	3082:56822
Bucket 329 [0.640625->0.642578]	825:33616	902:21222	943:41069	1863:31889	2324:19306	2475:24536	2488:21620	2946:66237	2946:66874	3149:25620
Bucket 330 [0.642578->0.644531]	308:45420	869:40296	876:48440	1009:5864	1054:47358	1884:66627	2202:6814	2485:29947	2946:66768	2946:67130
Bucket 331 [0.644531->0.646484]	397:68018	876:48427	930:54406	1003:27254	1057:37370	1912:13155	1912:13162	2031:16484	2042:50088	2138:62582
Bucket 332 [0.646484->0.648438]	532:53038	878:7423	957:57891	1010:35866	1095:70328	2133:10633	2324:19191	2479:46691	2504:10350	2504:10352
Bucket 333 [0.648438->0.650391]	542:48406	861:2112	902:21252	916:37766	952:8552	954:68716	1995:25786	2219:23758	2355:63850	2475:24546
Bucket 334 [0.650391->0.652344]	872:29326	876:48432	902:21227	902:21253	930:54436	1582:59266	2324:19200	2364:38125	2424:67826	2504:10341
Bucket 335 [0.652344->0.654297]	930:54411	930:54437	1101:49133	1940:60668	2322:58402	2324:19149	2479:46700	2946:65817	2946:67019	2946:67023
Bucket 336 [0.654297->0.65625]	747:17797	841:7994	843:68717	916:37796	959:17084	960:47168	1070:24658	1725:65893	1725:65896	1864:62135
Bucket 337 [0.65625->0.658203]	873:59383	873:59386	916:37797	1003:27284	1003:27285	1060:26033	1061:56147	1121:45932	1915:4124	2163:23938
Bucket 338 [0.658203->0.660156]	318:39770	599:33887	811:17135	841:7919	845:27112	848:15984	957:57921	957:57922	1003:27259	1010:35896
Bucket 339 [0.660156->0.662109]	916:37771	952:8582	952:8583	954:68746	954:68747	957:57896	1010:35871	1043:19099	1057:37181	1098:59728
Bucket 340 [0.662109->0.664062]	760:3236	843:68854	843:69089	952:8557	954:68721	1991:4511	2322:58443	2355:63841	2424:67758	2424:67894
Bucket 341 [0.664062->0.666016]	805:39178	882:26547	1995:25613	1995:25614	2331:32663	2429:20325	2429:20329	2475:24543	2485:29930	2946:65667
Bucket 342 [0.666016->0.667969]	805:39157	811:17060	862:32172	1043:19073	1057:37101	2324:19143	2475:24528	2475:24547	2596:23429	2946:66849
Bucket 343 [0.667969->0.669922]	797:1416	2324:19315	2479:46699	2482:38357	2946:65610	2946:66679	2946:66704	3163:59456	3210:10756	3324:40074
Bucket 344 [0.669922->0.671875]	485:64622	485:64627	999:8157	1547:6635	1864:62315	2032:46844	2034:7338	2322:58249	2322:58399	2450:61376
Bucket 345 [0.671875->0.673828]	1133:3720	1133:3721	1877:54953	1915:3944	2166:12880	2357:24721	2475:24529	2479:46684	2502:49337	2946:66360
Bucket 346 [0.673828->0.675781]	1727:25987	1727:25990	2322:58271	2429:20312	2502:49399	2946:66663	3007:44816	3149:26399	3149:26440	3324:39929
Bucket 347 [0.675781->0.677734]	485:64623	1841:67162	2479:46685	2488:21611	3324:39888	3324:39904	3407:12499	3407:12573	3592:60783	3822:33532
Bucket 348 [0.677734->0.679688]	797:1368	1827:44148	1841:67073	2946:66570	3149:26096	3149:26306	3176:60481	3179:53290	3181:15282	3195:48316
Bucket 349 [0.679688->0.681641]	484:34686	484:34688	484:34689	805:39254	1877:55028	1877:55030	1877:55034	1877:55039	2166:12949	3195:48402
Bucket 350 [0.681641->0.683594]	1827:44008	1877:55027	1877:55029	1877:55031	1877:55033	1877:55035	1877:55036	1877:55037	1877:55038	2322:58467
Bucket 351 [0.683594->0.685547]	842:38043	878:7427	1487:3454	1841:67159	1995:25720	2166:12896	2240:62414	2322:58331	2478:16142	2478:16143
Bucket 352 [0.685547->0.6875]	484:34704	607:71070	2038:28768	2711:46042	3163:58375	3298:34901	3324:40018	3381:6140	3455:3703	3563:59386
Bucket 353 [0.6875->0.689453]	450:30931	805:39179	1115:67063	1487:3471	2321:27769	2357:24653	2424:67861	2636:47875	2946:65699	3149:25977
Bucket 354 [0.689453->0.691406]	1108:58086	1448:32817	1743:8515	1744:38834	2038:28588	2355:63770	2357:24765	2946:66149	2948:28274	3149:25435
Bucket 355 [0.691406->0.693359]	748:47817	848:15986	876:48436	1487:3478	1744:38833	1776:4345	1780:25166	2357:24756	3298:34409	3298:34811
Bucket 356 [0.693359->0.695312]	1743:8514	1744:38823	1841:67038	2042:50140	2268:14169	2424:67755	3236:15137	3278:15682	3324:40026	3382:37075
Bucket 357 [0.695312->0.697266]	1272:58753	1743:8433	1743:8504	1743:8753	1744:38752	1744:38756	1744:39072	1841:67394	2324:19144	2335:54259
Bucket 358 [0.697266->0.699219]	836:60918	838:19857	1743:8437	2166:12877	2364:38116	2437:64512	2502:49255	2980:12556	3117:37957	3124:53936
Bucket 359 [0.699219->0.701172]	744:28955	1107:27958	1479:63638	1487:3468	1744:38787	1764:42166	2301:18724	2364:38001	3117:37557	3163:58952
Bucket 360 [0.701172->0.703125]	801:20181	1487:3492	1743:8468	1780:24928	2217:63001	3124:53662	3163:58153	3195:47356	3278:16057	3298:34578
Bucket 361 [0.703125->0.705078]	508:43655	511:32120	512:62071	1214:23933	1487:3467	1488:33709	1488:33713	1488:33720	1725:65992	1776:4107
Bucket 362 [0.705078->0.707031]	613:48323	765:52159	862:32168	886:45662	1097:29552	1488:33734	1744:38740	1776:4106	1780:24917	1780:24927
Bucket 363 [0.707031->0.708984]	964:66370	986:20904	1097:29557	1272:58793	1725:65981	1725:65991	1743:8421	1743:8423	1744:38742	1744:39045
Bucket 364 [0.708984->0.710938]	450:30935	989:10131	1342:54678	1725:66230	1743:8726	2245:14400	3195:47149	3195:47340	3278:14973	3278:15168
Bucket 365 [0.710938->0.712891]	464:44359	1097:29551	1831:65127	2357:24685	2948:27745	3052:31487	3100:12426	3195:47116	3295:41042	3298:34169
Bucket 366 [0.712891->0.714844]	862:32166	964:66322	986:20856	989:10083	1448:32856	1507:4210	1725:65945	1776:4060	1780:24881	2032:46850
Bucket 367 [0.714844->0.716797]	1272:58763	1479:63639	1508:34458	1863:31685	2034:7344	2355:63684	2596:23420	3124:53198	3163:58438	3163:59148
Bucket 368 [0.716797->0.71875]	747:17801	836:60772	838:19711	1098:59676	1507:4217	1727:26086	2269:44665	2322:58328	2620:57954	2948:27420
Bucket 369 [0.71875->0.720703]	886:45666	1448:32842	1479:63656	1479:63677	1508:34465	1508:34479	1727:26324	2068:38267	2074:20190	2075:50609
Bucket 370 [0.720703->0.722656]	959:17032	960:47116	1272:58671	1272:58674	1272:58675	1272:58676	1272:58677	1272:58678	1272:58679	1272:58680
Bucket 371 [0.722656->0.724609]	1272:58689	1272:58692	1272:58693	1272:58694	1272:58695	1272:58696	1272:58697	1448:32831	1479:63663	1725:65898
Bucket 372 [0.724609->0.726562]	1060:25981	1101:49081	1744:38877	1744:38879	1879:15415	2141:53710	2496:65951	2544:32896	2948:27739	2948:27741
Bucket 373 [0.726562->0.728516]	1054:47306	1098:59677	1192:66552	1194:25953	1195:56107	1198:45667	1200:5076	1207:14377	1208:44535	1211:34116
Bucket 374 [0.728516->0.730469]	498:48312	848:15995	1009:5812	1053:17194	1098:59682	1727:26039	1776:4025	1780:24846	1991:4593	2435:3438
Bucket 375 [0.730469->0.732422]	500:6817	748:47820	1061:56095	1094:40152	1095:70276	1205:54959	1448:32812	1594:20120	1727:26297	1744:38837
Bucket 376 [0.732422->0.734375]	797:1332	843:68768	1190:6246	1202:65388	1479:63652	1507:4207	1743:8518	1827:44145	1915:3941	3145:3457
Bucket 377 [0.734375->0.736328]	797:1347	797:1349	1201:35232	1204:24802	1479:63653	1512:54775	1512:54789	1743:8523	1744:38842	1776:4081
Bucket 378 [0.736328->0.738281]	1097:29606	1507:4231	1743:8406	1744:38725	1744:38749	1744:38812	1776:4088	1906:31761	3163:58543	3195:46966
Bucket 379 [0.738281->0.740234]	959:17038	960:47122	1152:71892	1272:58710	1725:66035	1725:66037	1727:25992	1727:25994	1743:8428	1743:8430
Bucket 380 [0.740234->0.742188]	599:33893	824:3092	1054:47312	1743:8427	1743:8441	1743:8444	1743:8449	1743:8451	1744:38746	1744:38763
