Bucket 0 [0.]	0:110
Bucket 461 [0.898438->0.900391]	946:30275
Bucket 462 [0.900391->0.902344]	920:56872
Bucket 463 [0.902344->0.904297]	935:2534
Bucket 464 [0.904297->0.90625]	1060:25975
Bucket 465 [0.90625->0.908203]	932:13393
Bucket 466 [0.908203->0.910156]	929:24258
Bucket 467 [0.910156->0.912109]	922:15928
Bucket 468 [0.912109->0.914062]	1201:35235
Bucket 469 [0.914062->0.916016]	1190:6319
Bucket 470 [0.916016->0.917969]	919:26808
Bucket 471 [0.917969->0.919922]	1192:66502
Bucket 472 [0.919922->0.921875]	920:56880
Bucket 473 [0.921875->0.923828]	939:21760
Bucket 474 [0.923828->0.925781]	332:52260
Bucket 475 [0.925781->0.927734]	1205:54962
Bucket 476 [0.927734->0.929688]	1201:35189
Bucket 477 [0.929688->0.931641]	1198:45617
Bucket 478 [0.931641->0.933594]	1197:15462
Bucket 479 [0.933594->0.935547]	919:26801
Bucket 480 [0.935547->0.9375]	919:26796
Bucket 481 [0.9375->0.939453]	1191:36433
Bucket 482 [0.939453->0.941406]	920:56868
Bucket 483 [0.941406->0.943359]	922:15929
Bucket 484 [0.943359->0.945312]	930:54378
Bucket 485 [0.945312->0.947266]	930:54383
Bucket 486 [0.947266->0.949219]	1195:56058
Bucket 487 [0.949219->0.951172]	902:21194
Bucket 488 [0.951172->0.953125]	902:21199
Bucket 489 [0.953125->0.955078]	902:21162
Bucket 490 [0.955078->0.957031]	902:21133
Bucket 491 [0.957031->0.958984]	808:28191
Bucket 492 [0.958984->0.960938]	579:42378
Bucket 493 [0.960938->0.962891]	959:16963
Bucket 494 [0.962891->0.964844]	920:56881
Bucket 495 [0.964844->0.966797]	182:39596
Bucket 496 [0.966797->0.96875]	845:27036
Bucket 497 [0.96875->0.970703]	916:37743
Bucket 498 [0.970703->0.972656]	579:42311
Bucket 499 [0.972656->0.974609]	182:39595
Bucket 500 [0.974609->0.976562]	545:36911
Bucket 501 [0.976562->0.978516]	647:54816
Bucket 502 [0.978516->0.980469]	546:66857
Bucket 503 [0.980469->0.982422]	192:33309
Bucket 504 [0.982422->0.984375]	174:4000
Bucket 505 [0.984375->0.986328]	552:43912
Bucket 506 [0.986328->0.988281]	420:45997
Bucket 507 [0.988281->0.990234]	210:62775
Bucket 508 [0.990234->0.992188]	351:11359
Bucket 509 [0.992188->0.994141]	556:62415
Bucket 510 [0.994141->0.996094]	130:12074
Bucket 511 [0.996094->0.998047]	498:48316
Bucket 512 [0.998047->1]	127:24212
Bucket 513 [1.]	893:53870
