Bucket 0 [0.0]	0:110	0:113	0:121	0:130	0:138
Bucket 313 [0.3046875->0.3056640625]	420:528	614:772	614:774	1371:1562	1383:1466
Bucket 314 [0.3056640625->0.306640625]	1309:1371	1694:3032	1699:2816	1792:2816	1792:2984
Bucket 315 [0.306640625->0.3076171875]	383:527	608:612	1135:1550	1309:1396	1339:1676
Bucket 316 [0.3076171875->0.30859375]	588:603	607:711	607:743	611:839	613:927
Bucket 317 [0.30859375->0.3095703125]	365:391	612:643	614:676	614:677	614:747
Bucket 318 [0.3095703125->0.310546875]	365:386	365:390	383:421	383:525	588:610
Bucket 319 [0.310546875->0.3115234375]	535:536	611:930	612:774	614:748	1529:1956
Bucket 320 [0.3115234375->0.3125]	376:544	556:601	588:601	598:780	611:835
Bucket 321 [0.3125->0.3134765625]	1410:1483	1420:1676	1792:2077	1792:3435	1869:3806
Bucket 322 [0.3134765625->0.314453125]	421:527	598:786	607:676	607:677	607:748
Bucket 323 [0.314453125->0.3154296875]	328:350	607:742	607:747	612:772	635:743
Bucket 324 [0.3154296875->0.31640625]	376:531	598:781	599:630	599:632	607:771
Bucket 325 [0.31640625->0.3173828125]	552:561	1271:1363	1363:1371	1426:1637	1501:1637
Bucket 326 [0.3173828125->0.318359375]	143:162	564:565	685:689	824:1271	1297:1431
Bucket 327 [0.318359375->0.3193359375]	564:668	607:776	635:772	1297:1345	1297:1434
Bucket 328 [0.3193359375->0.3203125]	420:539	635:676	635:677	1135:1433	1309:1676
Bucket 329 [0.3203125->0.3212890625]	429:433	560:669	589:601	612:676	612:677
Bucket 330 [0.3212890625->0.322265625]	560:594	612:695	612:697	615:780	1341:1530
Bucket 331 [0.322265625->0.3232421875]	350:363	612:619	612:771	613:790	635:747
Bucket 332 [0.3232421875->0.32421875]	560:568	560:601	564:573	586:592	612:747
Bucket 333 [0.32421875->0.3251953125]	611:774	612:716	612:742	637:839	685:818
Bucket 334 [0.3251953125->0.326171875]	420:525	564:570	565:668	637:835	1288:1582
Bucket 335 [0.326171875->0.3271484375]	376:433	599:614	1305:1562	1339:1668	1384:1608
Bucket 336 [0.3271484375->0.328125]	365:394	613:773	614:625	635:776	1271:1319
Bucket 337 [0.328125->0.3291015625]	612:776	1264:1736	1305:1956	1363:1676	1473:1817
Bucket 338 [0.3291015625->0.330078125]	562:612	611:743	616:781	1436:1766	1437:1766
Bucket 339 [0.330078125->0.3310546875]	376:537	560:564	611:711	611:772	613:774
Bucket 340 [0.3310546875->0.33203125]	565:640	612:832	625:780	625:781	625:786
Bucket 341 [0.33203125->0.3330078125]	376:542	565:573	992:1489	1339:1645	1413:1668
Bucket 342 [0.3330078125->0.333984375]	528:544	565:570	566:669	615:786	624:839
Bucket 343 [0.333984375->0.3349609375]	624:835	679:685	681:690	1497:1817	1503:1818
Bucket 344 [0.3349609375->0.3359375]	614:631	615:781	824:1413	824:1414	824:1415
Bucket 345 [0.3359375->0.3369140625]	611:676	611:677	611:771	824:1339	1393:1529
Bucket 346 [0.3369140625->0.337890625]	611:742	611:747	611:748	982:1489	993:1489
Bucket 347 [0.337890625->0.3388671875]	409:418	418:428	425:527	560:572	565:669
Bucket 348 [0.3388671875->0.33984375]	263:312	525:527	624:927	624:930	1264:1530
Bucket 349 [0.33984375->0.3408203125]	566:594	1537:1621	1680:1706	1792:3423	1794:1836
Bucket 350 [0.3408203125->0.341796875]	432:434	611:776	1907:3244	1907:3557	2019:2027
Bucket 351 [0.341796875->0.3427734375]	615:839	679:689	687:690	1394:1740	1395:1740
Bucket 352 [0.3427734375->0.34375]	611:832	624:790	687:689	1339:1734	1699:3238
Bucket 353 [0.34375->0.3447265625]	622:699	637:790	681:818	763:768	1297:1614
Bucket 354 [0.3447265625->0.345703125]	560:593	637:773	1383:1747	1534:1818	1891:2140
Bucket 355 [0.345703125->0.3466796875]	418:439	418:449	418:456	418:457	418:463
Bucket 356 [0.3466796875->0.34765625]	418:451	418:473	418:475	418:483	566:568
Bucket 357 [0.34765625->0.3486328125]	418:440	418:441	418:443	418:444	418:445
Bucket 358 [0.3486328125->0.349609375]	598:927	598:930	599:786	615:835	622:780
Bucket 359 [0.349609375->0.3505859375]	365:438	383:528	598:790	599:780	599:781
Bucket 360 [0.3505859375->0.3515625]	386:541	418:524	598:832	598:835	613:711
Bucket 361 [0.3515625->0.3525390625]	390:541	391:541	420:536	613:743	618:781
Bucket 362 [0.3525390625->0.353515625]	612:631	613:772	1371:1956	1410:1473	1410:1474
Bucket 363 [0.353515625->0.3544921875]	608:780	624:773	625:835	1794:1827	2027:2216
Bucket 364 [0.3544921875->0.35546875]	525:544	615:927	615:930	625:839	679:687
Bucket 365 [0.35546875->0.3564453125]	565:568	612:622	615:790	1699:3049	1699:3057
Bucket 366 [0.3564453125->0.357421875]	331:354	381:438	622:786	751:856	1217:1356
Bucket 367 [0.357421875->0.3583984375]	421:536	423:527	598:773	613:676	613:677
Bucket 368 [0.3583984375->0.359375]	566:593	607:832	614:616	622:781	625:643
Bucket 369 [0.359375->0.3603515625]	616:699	1412:1542	1523:1628	1907:3347	2010:2080
Bucket 370 [0.3603515625->0.361328125]	436:499	566:572	590:1644	591:1644	616:835
Bucket 371 [0.361328125->0.3623046875]	383:429	420:531	612:630	612:632	613:742
Bucket 372 [0.3623046875->0.36328125]	599:611	608:786	612:615	626:699	687:693
Bucket 373 [0.36328125->0.3642578125]	608:781	1547:1823	1576:1586	1576:1587	1580:1586
Bucket 374 [0.3642578125->0.365234375]	590:1610	591:1610	599:626	616:839	624:643
Bucket 375 [0.365234375->0.3662109375]	556:566	590:1592	590:1638	591:1592	591:1638
Bucket 376 [0.3662109375->0.3671875]	565:593	599:930	613:776	616:790	625:773
Bucket 377 [0.3671875->0.3681640625]	383:535	590:1572	590:1628	591:1572	591:1628
Bucket 378 [0.3681640625->0.369140625]	376:528	590:1575	590:1591	591:1575	591:1591
Bucket 379 [0.369140625->0.3701171875]	376:525	420:537	528:540	611:619	612:637
Bucket 380 [0.3701171875->0.37109375]	343:372	590:1556	591:1556	599:835	614:618
Bucket 381 [0.37109375->0.3720703125]	383:542	525:540	599:839	685:690	1410:1600
Bucket 382 [0.3720703125->0.373046875]	420:423	565:572	615:832	637:643	637:711
Bucket 383 [0.373046875->0.3740234375]	560:589	572:668	615:774	637:772	690:693
Bucket 384 [0.3740234375->0.375]	608:835	609:703	1339:1371	2046:3001	2049:2195
Bucket 385 [0.375->0.3759765625]	539:544	590:1520	591:1520	637:832	1363:1734
Bucket 386 [0.3759765625->0.376953125]	598:774	608:839	635:699	1407:1823	1564:2903
Bucket 387 [0.376953125->0.3779296875]	353:372	394:541	423:533	615:711	615:743
Bucket 388 [0.3779296875->0.37890625]	528:533	615:772	1086:1298	1410:1503	2030:2049
Bucket 389 [0.37890625->0.3798828125]	383:423	591:1398	608:930	623:780	1377:1592
Bucket 390 [0.3798828125->0.380859375]	352:372	357:372	570:572	572:573	590:1398
Bucket 391 [0.380859375->0.3818359375]	343:355	630:832	632:832	637:742	637:747
Bucket 392 [0.3818359375->0.3828125]	311:372	618:930	1412:1549	1466:1747	1503:1823
Bucket 393 [0.3828125->0.3837890625]	438:541	615:676	615:677	618:927	637:748
Bucket 394 [0.3837890625->0.384765625]	311:355	425:542	593:668	612:613	618:835
Bucket 395 [0.384765625->0.3857421875]	376:533	376:539	613:615	615:748	618:832
Bucket 396 [0.3857421875->0.38671875]	372:395	372:396	425:536	527:528	527:535
Bucket 397 [0.38671875->0.3876953125]	372:393	608:773	613:614	622:835	622:839
Bucket 398 [0.3876953125->0.388671875]	527:542	624:743	1372:1382	1372:1385	1377:1644
Bucket 399 [0.388671875->0.3896484375]	615:776	618:839	624:711	631:786	1377:1572
Bucket 400 [0.3896484375->0.390625]	353:355	573:593	599:790	625:832	668:669
Bucket 401 [0.390625->0.3916015625]	355:395	355:396	438:529	624:772	630:780
Bucket 402 [0.3916015625->0.392578125]	355:393	570:593	598:711	598:743	619:780
Bucket 403 [0.392578125->0.3935546875]	499:532	598:772	599:773	618:790	622:927
Bucket 404 [0.3935546875->0.39453125]	599:613	624:676	624:677	667:980	685:693
Bucket 405 [0.39453125->0.3955078125]	365:529	570:669	573:669	599:607	607:619
Bucket 406 [0.3955078125->0.396484375]	624:742	624:747	624:748	1074:1342	1433:1498
Bucket 407 [0.396484375->0.3974609375]	355:357	616:832	624:771	1426:1530	1501:1530
Bucket 408 [0.3974609375->0.3984375]	352:355	565:603	565:610	611:623	624:699
Bucket 409 [0.3984375->0.3994140625]	333:335	429:533	435:652	598:615	1696:1708
Bucket 410 [0.3994140625->0.400390625]	598:676	598:677	615:635	616:774	622:790
Bucket 411 [0.400390625->0.4013671875]	618:773	619:781	619:786	685:687	1333:1601
Bucket 412 [0.4013671875->0.40234375]	594:668	598:771	613:619	622:773	624:776
Bucket 413 [0.40234375->0.4033203125]	598:747	598:748	613:699	619:630	619:632
Bucket 414 [0.4033203125->0.404296875]	598:599	598:742	625:772	665:1601	1901:2414
Bucket 415 [0.404296875->0.4052734375]	542:544	612:623	630:781	632:781	679:693
Bucket 416 [0.4052734375->0.40625]	1266:1550	1295:1627	1953:2175	1992:2138	2032:2528
Bucket 417 [0.40625->0.4072265625]	335:354	598:776	608:790	608:832	614:637
Bucket 418 [0.4072265625->0.408203125]	614:624	665:1627	788:980	1962:2073	2062:3189
Bucket 419 [0.408203125->0.4091796875]	568:668	570:603	573:603	599:635	614:627
Bucket 420 [0.4091796875->0.41015625]	573:594	573:610	596:1601	612:627	625:676
Bucket 421 [0.41015625->0.4111328125]	566:603	570:610	612:618	801:980	806:980
Bucket 422 [0.4111328125->0.412109375]	525:535	566:610	570:594	623:835	789:980
Bucket 423 [0.412109375->0.4130859375]	625:742	625:747	625:748	625:771	784:980
Bucket 424 [0.4130859375->0.4140625]	418:530	596:1627	623:839	800:980	1371:1413
Bucket 425 [0.4140625->0.4150390625]	564:603	599:619	603:668	610:668	689:818
Bucket 426 [0.4150390625->0.416015625]	331:333	376:535	425:539	521:541	614:635
Bucket 427 [0.416015625->0.4169921875]	564:610	616:742	616:743	616:747	616:771
Bucket 428 [0.4169921875->0.41796875]	568:573	613:626	618:630	618:632	618:774
Bucket 429 [0.41796875->0.4189453125]	568:570	599:774	616:711	616:748	626:786
Bucket 430 [0.4189453125->0.419921875]	630:699	632:699	1356:1550	1633:1635	1901:2205
Bucket 431 [0.419921875->0.4208984375]	619:835	623:630	623:632	626:781	741:1627
Bucket 432 [0.4208984375->0.421875]	1401:1823	1541:1566	1600:1641	1961:1993	2058:2650
Bucket 433 [0.421875->0.4228515625]	631:927	631:930	1356:1418	1470:1579	1535:1566
Bucket 434 [0.4228515625->0.423828125]	616:776	1470:1548	1901:2306	2058:2104	2061:2642
Bucket 435 [0.423828125->0.4248046875]	423:540	598:699	602:634	619:839	623:790
Bucket 436 [0.4248046875->0.42578125]	527:536	1460:1547	1757:1797	2032:2474	2058:3001
Bucket 437 [0.42578125->0.4267578125]	525:533	631:835	1554:1566	1577:1648	2032:2091
Bucket 438 [0.4267578125->0.427734375]	619:927	619:930	626:773	679:681	1303:1613
Bucket 439 [0.427734375->0.4287109375]	599:615	607:699	608:774	614:630	614:632
Bucket 440 [0.4287109375->0.4296875]	1527:1566	1535:1548	1624:1632	1699:2480	1699:2506
Bucket 441 [0.4296875->0.4306640625]	383:539	599:624	1534:1641	1901:2827	1962:2680
Bucket 442 [0.4306640625->0.431640625]	599:616	619:635	981:1020	1433:1546	2046:2355
Bucket 443 [0.431640625->0.4326171875]	599:832	623:773	760:1234	785:1399	1309:1533
Bucket 444 [0.4326171875->0.43359375]	528:535	630:835	631:790	632:835	1554:1579
Bucket 445 [0.43359375->0.4345703125]	220:229	438:521	598:623	599:776	1460:1823
Bucket 446 [0.4345703125->0.435546875]	607:613	819:1088	1285:1433	1297:1397	1548:1554
Bucket 447 [0.435546875->0.4365234375]	425:525	598:614	599:747	611:615	619:773
Bucket 448 [0.4365234375->0.4375]	599:676	599:677	599:742	599:748	599:771
Bucket 449 [0.4375->0.4384765625]	581:1234	618:711	618:743	1426:1533	1452:1604
Bucket 450 [0.4384765625->0.439453125]	599:772	622:774	626:832	627:780	1303:1551
Bucket 451 [0.439453125->0.4404296875]	618:772	1401:1641	1427:1641	1521:1554	1699:2659
Bucket 452 [0.4404296875->0.44140625]	598:612	608:676	608:677	616:619	622:711
Bucket 453 [0.44140625->0.4423828125]	429:540	599:711	599:743	608:742	608:747
Bucket 454 [0.4423828125->0.443359375]	608:748	608:771	626:790	630:927	630:930
Bucket 455 [0.443359375->0.4443359375]	611:699	612:635	1473:1604	1474:1604	1476:1604
Bucket 456 [0.4443359375->0.4453125]	421:542	618:748	626:635	1397:1557	1470:1525
Bucket 457 [0.4453125->0.4462890625]	376:429	608:743	608:772	618:742	619:790
Bucket 458 [0.4462890625->0.447265625]	608:711	608:776	618:676	618:677	618:747
Bucket 459 [0.447265625->0.4482421875]	599:622	1403:1460	1404:1460	1405:1460	1406:1460
Bucket 460 [0.4482421875->0.44921875]	607:612	899:1020	902:1020	903:1020	904:1020
Bucket 461 [0.44921875->0.4501953125]	376:423	421:539	602:644	611:625	618:776
Bucket 462 [0.4501953125->0.451171875]	318:354	622:676	622:677	840:1020	851:1020
Bucket 463 [0.451171875->0.4521484375]	615:622	622:748	841:1020	844:1020	845:1020
Bucket 464 [0.4521484375->0.453125]	622:747	1506:1548	1699:2699	1964:2543	2047:2091
Bucket 465 [0.453125->0.4541015625]	429:544	527:539	599:631	622:742	622:771
Bucket 466 [0.4541015625->0.455078125]	376:540	529:541	846:1020	1470:1589	1490:1548
Bucket 467 [0.455078125->0.4560546875]	615:623	619:832	634:644	917:1020	921:1020
Bucket 468 [0.4560546875->0.45703125]	381:521	622:776	626:930	1345:1351	1351:1431
Bucket 469 [0.45703125->0.4580078125]	533:539	611:630	611:632	613:627	626:927
Bucket 470 [0.4580078125->0.458984375]	1404:1483	1405:1483	1407:1483	1699:3409	1699:3706
Bucket 471 [0.458984375->0.4599609375]	433:527	540:542	593:603	599:612	612:614
Bucket 472 [0.4599609375->0.4609375]	425:528	583:1074	593:610	607:608	623:624
Bucket 473 [0.4609375->0.4619140625]	603:669	610:669	611:631	626:637	626:774
Bucket 474 [0.4619140625->0.462890625]	608:611	971:1020	972:1020	1699:3024	1699:3840
Bucket 475 [0.462890625->0.4638671875]	894:1020	895:1020	901:1020	1525:1531	1541:1578
Bucket 476 [0.4638671875->0.46484375]	433:528	612:616	893:1020	1460:1600	1535:1578
Bucket 477 [0.46484375->0.4658203125]	365:541	423:535	536:544	623:774	760:1362
Bucket 478 [0.4658203125->0.466796875]	420:429	614:622	615:616	1020:1040	1310:1351
Bucket 479 [0.466796875->0.4677734375]	1506:1525	1512:1525	1513:1525	1514:1525	1515:1525
Bucket 480 [0.4677734375->0.46875]	429:535	595:1351	968:1020	1470:1574	1490:1525
Bucket 481 [0.46875->0.4697265625]	594:603	761:983	969:1020	1492:1525	1493:1525
Bucket 482 [0.4697265625->0.470703125]	429:542	594:610	615:618	760:1335	1294:1351
Bucket 483 [0.470703125->0.4716796875]	613:631	619:626	630:631	631:632	1129:1433
Bucket 484 [0.4716796875->0.47265625]	318:333	619:624	623:743	760:1315	1401:1460
Bucket 485 [0.47265625->0.4736328125]	623:772	760:1307	931:1020	936:1020	1541:1574
Bucket 486 [0.4736328125->0.474609375]	612:624	623:711	939:1020	1522:1554	1535:1574
Bucket 487 [0.474609375->0.4755859375]	607:625	686:689	934:1020	935:1020	959:1020
Bucket 488 [0.4755859375->0.4765625]	376:421	572:603	572:610	701:721	865:1020
Bucket 489 [0.4765625->0.4775390625]	619:623	681:685	858:1020	860:1020	861:1020
Bucket 490 [0.4775390625->0.478515625]	581:1362	581:1368	598:619	604:633	857:1020
Bucket 491 [0.478515625->0.4794921875]	600:3367	701:722	859:1020	1699:2297	1699:2512
Bucket 492 [0.4794921875->0.48046875]	627:835	701:714	701:717	701:719	701:723
Bucket 493 [0.48046875->0.4814453125]	623:676	623:677	701:715	701:720	701:725
Bucket 494 [0.4814453125->0.482421875]	598:625	611:614	619:774	630:774	632:774
Bucket 495 [0.482421875->0.4833984375]	611:627	631:774	943:1020	950:1020	1209:1550
Bucket 496 [0.4833984375->0.484375]	581:1335	583:1342	623:742	623:771	627:839
Bucket 497 [0.484375->0.4853515625]	581:1315	623:747	623:748	627:930	1206:1418
Bucket 498 [0.4853515625->0.486328125]	1207:1418	1208:1418	1216:1546	1410:1497	1522:1579
Bucket 499 [0.486328125->0.4873046875]	581:1307	1237:1498	1303:1677	1525:1589	1699:2156
Bucket 500 [0.4873046875->0.48828125]	623:635	1258:1687	1460:1641	1506:1589	1512:1589
Bucket 501 [0.48828125->0.4892578125]	614:626	616:618	618:626	623:776	625:626
Bucket 502 [0.4892578125->0.490234375]	613:625	626:711	631:711	631:743	1209:1418
Bucket 503 [0.490234375->0.4912109375]	355:372	433:525	521:529	613:616	626:772
Bucket 504 [0.4912109375->0.4921875]	595:1397	608:624	619:743	744:757	1319:1543
Bucket 505 [0.4921875->0.4931640625]	607:616	619:711	1237:1285	1490:1578	1492:1578
Bucket 506 [0.4931640625->0.494140625]	619:772	627:790	631:676	631:772	1020:1045
Bucket 507 [0.494140625->0.4951171875]	608:630	608:632	615:624	631:677	1237:1299
Bucket 508 [0.4951171875->0.49609375]	599:625	608:635	616:622	627:773	642:769
Bucket 509 [0.49609375->0.4970703125]	624:630	624:632	626:676	626:677	626:771
Bucket 510 [0.4970703125->0.498046875]	421:528	626:742	626:748	631:742	631:747
Bucket 511 [0.498046875->0.4990234375]	421:525	623:625	626:747	631:771	1216:1293
Bucket 512 [0.4990234375->0.5]	423:433	433:536	568:603	619:676	619:747
Bucket 513 [0.5->0.5009765625]	619:677	619:771	626:776	1216:1285	1237:1293
Bucket 514 [0.5009765625->0.501953125]	535:542	568:610	577:666	619:742	619:748
Bucket 515 [0.501953125->0.5029296875]	599:618	630:711	630:743	632:711	632:743
Bucket 516 [0.5029296875->0.50390625]	381:529	616:637	1218:1247	1402:1457	1402:1458
Bucket 517 [0.50390625->0.5048828125]	599:623	621:719	621:722	621:724	621:731
Bucket 518 [0.5048828125->0.505859375]	621:715	621:717	621:723	621:733	621:734
Bucket 519 [0.505859375->0.5068359375]	599:627	616:623	619:776	621:714	621:718
Bucket 520 [0.5068359375->0.5078125]	1206:1433	1209:1433	1210:1433	1211:1433	1212:1433
Bucket 521 [0.5078125->0.5087890625]	607:623	1237:1356	1402:1473	1402:1474	1402:1476
Bucket 522 [0.5087890625->0.509765625]	1218:1230	1397:1434	1397:1614	1636:1652	1901:2681
Bucket 523 [0.509765625->0.5107421875]	1236:1356	1901:3328	1901:3498	1901:3959	2030:2510
Bucket 524 [0.5107421875->0.51171875]	611:637	744:755	1218:1285	1680:1703	1699:2185
Bucket 525 [0.51171875->0.5126953125]	267:271	429:539	1218:1356	1636:1815	1699:2375
Bucket 526 [0.5126953125->0.513671875]	1699:2180	1699:2357	1901:3423	2030:2079	2063:2401
Bucket 527 [0.513671875->0.5146484375]	630:676	630:677	630:742	630:747	630:748
Bucket 528 [0.5146484375->0.515625]	607:627	614:699	1208:1433	1452:1534	1456:1534
Bucket 529 [0.515625->0.5166015625]	598:626	619:625	1305:1319	1636:1824	2063:2261
Bucket 530 [0.5166015625->0.517578125]	622:630	622:632	1699:2063	1962:3200	1963:2916
Bucket 531 [0.517578125->0.5185546875]	386:394	627:832	913:1020	1636:1780	2063:2238
Bucket 532 [0.5185546875->0.51953125]	391:394	613:618	630:776	632:776	897:1020
Bucket 533 [0.51953125->0.5205078125]	390:394	608:623	626:630	626:632	1473:1534
Bucket 534 [0.5205078125->0.521484375]	288:313	1901:2865	1901:3015	1901:3197	2062:2223
Bucket 535 [0.521484375->0.5224609375]	144:146	428:530	611:616	1636:1712	2062:2675
Bucket 536 [0.5224609375->0.5234375]	236:242	615:637	625:635	1435:1499	2063:3706
Bucket 537 [0.5234375->0.5244140625]	616:626	630:635	632:635	1636:1744	2060:2986
Bucket 538 [0.5244140625->0.525390625]	627:637	696:740	1901:2323	1901:2897	2060:3566
Bucket 539 [0.525390625->0.5263671875]	696:765	696:766	1230:1236	1636:1700	2063:3889
Bucket 540 [0.5263671875->0.52734375]	429:525	533:542	539:540	932:1020	2060:3095
Bucket 541 [0.52734375->0.5283203125]	928:1020	976:1020	1901:2234	1901:2413	2063:3522
Bucket 542 [0.5283203125->0.529296875]	536:542	613:637	957:1020	1962:3241	1966:2986
Bucket 543 [0.529296875->0.5302734375]	615:619	947:1020	1099:1109	1401:1452	1401:1456
Bucket 544 [0.5302734375->0.53125]	631:637	884:1020	941:1020	951:1020	953:1020
Bucket 545 [0.53125->0.5322265625]	311:395	311:396	423:425	608:618	891:1020
Bucket 546 [0.5322265625->0.533203125]	145:149	145:152	872:1020	879:1020	1135:1245
Bucket 547 [0.533203125->0.5341796875]	350:426	350:427	607:631	878:1020	880:1020
Bucket 548 [0.5341796875->0.53515625]	288:336	311:393	421:423	436:532	874:1020
Bucket 549 [0.53515625->0.5361328125]	619:622	876:1020	1108:1109	1401:1436	1401:1437
Bucket 550 [0.5361328125->0.537109375]	636:696	977:1020	1401:1473	1401:1474	1401:1476
Bucket 551 [0.537109375->0.5380859375]	376:425	656:696	978:1020	1403:1410	1404:1410
Bucket 552 [0.5380859375->0.5390625]	607:615	636:755	956:1020	1402:1410	1406:1410
Bucket 553 [0.5390625->0.5400390625]	286:313	421:429	696:707	696:735	1135:1206
Bucket 554 [0.5400390625->0.541015625]	656:755	886:1020	1135:1207	1135:1208	1629:1636
Bucket 555 [0.541015625->0.5419921875]	433:539	618:619	696:712	958:1020	960:1020
Bucket 556 [0.5419921875->0.54296875]	280:336	288:325	646:696	707:755	1504:1527
Bucket 557 [0.54296875->0.5439453125]	646:755	712:755	875:1020	887:1020	1525:1548
Bucket 558 [0.5439453125->0.544921875]	622:625	623:626	864:1020	1041:1083	1129:1135
Bucket 559 [0.544921875->0.5458984375]	280:288	675:696	1019:1039	1039:1041	1042:1071
Bucket 560 [0.5458984375->0.546875]	337:378	528:536	611:618	671:755	673:755
Bucket 561 [0.546875->0.5478515625]	311:343	313:336	611:622	627:774	671:696
Bucket 562 [0.5478515625->0.548828125]	280:313	611:613	1039:1085	1042:1064	1060:1083
Bucket 563 [0.548828125->0.5498046875]	429:528	600:1258	608:619	1019:1067	1039:1046
Bucket 564 [0.5498046875->0.55078125]	267:269	564:568	626:631	735:757	1039:1060
Bucket 565 [0.55078125->0.5517578125]	204:267	564:594	622:623	1019:1042	1042:1046
Bucket 566 [0.5517578125->0.552734375]	280:325	286:288	1083:1085	1413:1543	1414:1543
Bucket 567 [0.552734375->0.5537109375]	311:353	535:539	599:608	1046:1067	1061:1067
Bucket 568 [0.5537109375->0.5546875]	564:669	608:626	1884:1927	2148:2323	2156:2521
Bucket 569 [0.5546875->0.5556640625]	282:284	291:309	1060:1067	1738:1755	2063:2273
Bucket 570 [0.5556640625->0.556640625]	608:613	636:744	740:757	1412:1584	1525:1579
Bucket 571 [0.556640625->0.5576171875]	627:635	656:744	1470:1512	1470:1513	1470:1514
Bucket 572 [0.5576171875->0.55859375]	286:325	624:625	1244:1585	1305:1420	2063:2884
Bucket 573 [0.55859375->0.5595703125]	325:336	627:743	1018:1071	1284:1397	1305:1339
Bucket 574 [0.5595703125->0.560546875]	294:309	598:607	623:637	627:772	636:757
Bucket 575 [0.560546875->0.5615234375]	611:626	627:630	627:632	707:744	1047:1083
Bucket 576 [0.5615234375->0.5625]	266:275	313:325	627:711	656:757	712:744
Bucket 577 [0.5625->0.5634765625]	616:625	646:744	757:765	757:766	1018:1046
Bucket 578 [0.5634765625->0.564453125]	598:608	1213:1244	1226:1244	1310:1397	1319:1426
Bucket 579 [0.564453125->0.5654296875]	527:533	536:539	671:744	673:744	1018:1085
Bucket 580 [0.5654296875->0.56640625]	598:631	618:623	627:742	627:771	1018:1064
Bucket 581 [0.56640625->0.5673828125]	627:676	627:677	627:747	1018:1060	1041:1051
Bucket 582 [0.5673828125->0.568359375]	281:309	675:757	740:755	755:765	755:766
Bucket 583 [0.568359375->0.5693359375]	353:395	353:396	1018:1019	1019:1051	1135:1266
Bucket 584 [0.5693359375->0.5703125]	627:748	671:757	1051:1064	1051:1071	1901:2078
Bucket 585 [0.5703125->0.5712890625]	673:757	1039:1047	1051:1085	1319:1363	1504:1535
Bucket 586 [0.5712890625->0.572265625]	353:393	646:757	1047:1067	1051:1061	1547:1641
Bucket 587 [0.572265625->0.5732421875]	613:630	613:632	1244:1265	1533:1668	2062:3255
Bucket 588 [0.5732421875->0.57421875]	627:776	735:744	1051:1060	1244:1269	1244:1300
Bucket 589 [0.57421875->0.5751953125]	613:622	1042:1047	1551:1805	2063:2413	2094:2343
Bucket 590 [0.5751953125->0.576171875]	626:627	2062:3096	2063:2110	2063:2202	2063:2291
Bucket 591 [0.576171875->0.5771484375]	352:395	352:396	599:637	635:637	740:744
Bucket 592 [0.5771484375->0.578125]	311:352	311:357	357:395	357:396	425:429
Bucket 593 [0.578125->0.5791015625]	707:757	1403:1600	1404:1600	1405:1600	1406:1600
Bucket 594 [0.5791015625->0.580078125]	352:393	598:627	607:618	679:686	1244:1253
Bucket 595 [0.580078125->0.5810546875]	280:286	343:395	343:396	357:393	712:757
Bucket 596 [0.5810546875->0.58203125]	269:271	598:630	598:632	600:1687	618:625
Bucket 597 [0.58203125->0.5830078125]	525:536	607:635	1566:1579	2148:2480	2180:2363
Bucket 598 [0.5830078125->0.583984375]	290:315	343:393	1018:1047	1470:1554	1548:1579
Bucket 599 [0.583984375->0.5849609375]	1244:1350	2063:2212	2094:2297	2100:2297	2116:2297
Bucket 600 [0.5849609375->0.5859375]	607:614	611:624	615:626	1382:1503	1385:1503
Bucket 601 [0.5859375->0.5869140625]	1047:1051	1244:1355	2110:2180	2185:2305	2185:2413
Bucket 602 [0.5869140625->0.587890625]	608:637	1470:1527	1510:1683	2062:2681	2062:2815
Bucket 603 [0.587890625->0.5888671875]	608:616	623:627	741:1333	2063:2253	2094:2285
Bucket 604 [0.5888671875->0.58984375]	428:457	622:626	1244:1321	1244:1325	1403:1503
Bucket 605 [0.58984375->0.5908203125]	428:449	428:477	433:542	598:616	616:630
Bucket 606 [0.5908203125->0.591796875]	428:439	428:451	428:456	428:463	428:467
Bucket 607 [0.591796875->0.5927734375]	204:271	233:275	428:475	428:483	613:624
Bucket 608 [0.5927734375->0.59375]	741:1295	896:1020	1527:1541	1780:1848	2180:2212
Bucket 609 [0.59375->0.5947265625]	428:441	428:444	428:447	428:452	428:453
Bucket 610 [0.5947265625->0.595703125]	428:440	428:443	428:445	428:446	428:448
Bucket 611 [0.595703125->0.5966796875]	423:429	623:631	631:635	1243:1244	1964:3227
Bucket 612 [0.5966796875->0.59765625]	533:536	564:572	625:637	1244:1280	1551:1740
Bucket 613 [0.59765625->0.5986328125]	428:524	1244:1277	1244:1278	1360:1383	2185:2212
Bucket 614 [0.5986328125->0.599609375]	204:269	1244:1263	2101:2541	2135:2678	2185:2441
Bucket 615 [0.599609375->0.6005859375]	281:294	1542:1549	2062:4022	2062:4047	2097:2144
Bucket 616 [0.6005859375->0.6015625]	409:428	624:637	1382:1401	1385:1401	1531:1541
Bucket 617 [0.6015625->0.6025390625]	379:380	615:631	1531:1535	1699:4328	1901:2148
Bucket 618 [0.6025390625->0.603515625]	1382:1534	1385:1534	1780:1815	2094:2156	2094:2162
Bucket 619 [0.603515625->0.6044921875]	616:631	1521:1548	1521:1566	1542:1584	1712:1783
Bucket 620 [0.6044921875->0.60546875]	1244:1279	1532:1740	1712:1848	1825:1832	1964:2237
