Bucket 0 [0.]	0:20	0:319	0:694	0:833	0:1121	0:1232	0:1323	0:1327	0:1331	0:1332
Bucket 108 [0.417969->0.421875]	768:20817	1103:25317	1109:1661	1118:16670	1134:54989	1134:54990	1134:55055	1134:55056	1134:55060	1134:55084
Bucket 109 [0.421875->0.425781]	690:45746	700:3222	772:4054	777:33804	781:17078	1120:8934	1134:55024	1134:55061	1140:31632	1147:54579
Bucket 110 [0.425781->0.429688]	703:41289	918:8349	966:15842	1101:33133	1109:1522	1134:55089	1140:31720	1140:31723	1147:54739	1162:46739
Bucket 111 [0.429688->0.433594]	703:41294	805:18271	969:54324	1101:33078	1103:25158	1103:25159	1118:16725	1125:39691	1131:16147	1131:16149
Bucket 112 [0.433594->0.4375]	410:45592	969:54322	971:46239	1101:33048	1101:33057	1103:25167	1103:25319	1103:25375	1118:16639	1120:8836
Bucket 113 [0.4375->0.441406]	641:1041	1070:4615	1103:25145	1103:25219	1103:25220	1103:25285	1103:25290	1103:25291	1103:25314	1120:8903
Bucket 114 [0.441406->0.445312]	403:25999	781:17064	1103:25286	1103:25315	1120:8871	1120:8932	1120:8936	1131:16151	1134:54932	1140:31583
Bucket 115 [0.445312->0.449219]	773:50543	788:38498	1101:33046	1103:25254	1109:1662	1109:1720	1127:31855	1134:54957	1138:39306	1138:39307
Bucket 116 [0.449219->0.453125]	773:50540	1103:25165	1103:25174	1109:1513	1109:1532	1118:16638	1125:39701	1125:39775	1133:8292	1138:39406
Bucket 117 [0.453125->0.457031]	690:45634	768:20814	969:54327	1109:1564	1109:1565	1129:23994	1146:8076	1153:31413	1153:31416	1168:23147
Bucket 118 [0.457031->0.460938]	690:45640	788:38502	973:38164	981:5868	982:52438	1073:43134	1109:1630	1109:1635	1109:1636	1109:1659
Bucket 119 [0.460938->0.464844]	38:23586	583:47789	690:45751	700:3307	772:3953	781:17067	796:5112	994:4099	1092:18007	1092:18014
Bucket 120 [0.464844->0.46875]	42:4709	796:5111	1109:1599	1109:1631	1109:1664	1120:8771	1127:31836	1131:16139	1134:54947	1147:54573
Bucket 121 [0.46875->0.472656]	38:23584	583:47768	670:29446	855:13671	895:51762	901:27195	903:19012	907:2655	908:49194	910:41021
Bucket 122 [0.472656->0.476562]	42:4722	768:20800	777:33799	788:38493	788:38500	1053:20981	1070:4743	1070:4749	1112:40275	1140:31416
Bucket 123 [0.476562->0.480469]	751:41463	786:46840	1053:20974	1070:4696	1070:4716	1101:33053	1101:33059	1105:20022	1125:39690	1160:54479
Bucket 124 [0.480469->0.484375]	690:45632	855:13677	895:51768	901:27201	903:19018	907:2661	908:49200	910:41027	912:32857	914:24690
Bucket 125 [0.484375->0.488281]	38:23599	263:47415	840:24997	864:27208	1096:2996	1125:39703	1129:23992	1147:54691	1147:54696	1147:54697
Bucket 126 [0.488281->0.492188]	42:4713	42:4719	751:41469	786:46846	796:5109	807:9958	809:1638	810:48132	814:31503	816:23193
Bucket 127 [0.492188->0.496094]	38:23596	42:4716	42:4720	42:4721	262:1171	958:48220	1103:25168	1118:16642	1120:8790	1120:8792
Bucket 128 [0.496094->0.5]	38:23590	42:4712	42:4714	42:4715	265:38302	652:4701	840:25003	864:27214	877:24362	964:23937
Bucket 129 [0.5->0.503906]	38:23589	38:23591	38:23592	38:23597	38:23598	42:4710	42:4717	489:51654	567:15595	773:50529
Bucket 130 [0.503906->0.507812]	38:23587	38:23593	38:23594	489:51609	768:20803	773:50526	1045:52855	1103:25166	1103:25170	1109:1501
Bucket 131 [0.507812->0.511719]	489:51643	700:3315	984:44379	1140:31569	1147:54781	1151:38938	1160:54452	1160:54476	1164:38845	1164:38869
Bucket 132 [0.511719->0.515625]	139:8196	489:51604	489:51612	690:45629	709:15742	718:28360	768:20704	788:38497	1101:33060	1109:1496
Bucket 133 [0.515625->0.519531]	432:49392	489:51589	489:51631	534:6901	607:45634	716:36813	1118:16653	1120:8783	1140:31418	1146:7930
Bucket 134 [0.519531->0.523438]	263:47404	263:47405	263:47407	263:47408	263:47410	489:51599	528:33073	786:46839	1057:5140	1057:5208
Bucket 135 [0.523438->0.527344]	262:1163	262:1164	262:1166	263:47406	489:51600	489:51606	567:15607	918:8357	981:5871	1109:1500
Bucket 136 [0.527344->0.53125]	40:14146	265:38292	265:38294	265:38295	265:38297	515:39139	539:35838	567:15618	642:47530	642:47531
Bucket 137 [0.53125->0.535156]	236:18292	265:38291	265:38293	423:38640	489:51593	497:16509	517:30393	528:33096	570:53391	570:53392
Bucket 138 [0.535156->0.539062]	40:14144	262:1161	489:51602	497:16513	504:36556	521:12906	570:53389	611:28398	618:49054	618:49056
Bucket 139 [0.539062->0.542969]	249:9663	251:530	262:1160	262:1162	374:3288	488:5307	504:36560	539:35861	570:53339	618:49004
Bucket 140 [0.542969->0.546875]	300:31695	416:18988	488:5296	489:51627	493:34062	513:47888	513:47911	521:12885	524:50536	528:33069
Bucket 141 [0.546875->0.550781]	273:1880	274:48129	278:29938	399:43906	423:38598	447:33739	447:33781	488:5259	489:51598	493:34066
Bucket 142 [0.550781->0.554688]	267:29192	269:20085	271:10981	374:3284	386:51117	386:51159	386:51163	399:43910	412:36773	418:10052
Bucket 143 [0.554688->0.558594]	374:3242	399:43864	412:36777	418:10098	421:47523	421:47527	423:38656	423:38667	427:20910	447:33808
Bucket 144 [0.558594->0.5625]	421:47481	447:33797	517:30368	517:30389	517:30405	524:50548	534:6897	539:35850	574:35992	615:11204
Bucket 145 [0.5625->0.566406]	40:14159	45:41433	374:3263	416:18942	416:18984	418:10073	427:20862	447:33756	488:5246	488:5257
Bucket 146 [0.566406->0.570312]	374:3300	386:51175	412:36731	416:18963	416:19011	427:20841	427:20899	447:33760	447:33766	497:16525
Bucket 147 [0.570312->0.574219]	40:14150	40:14156	374:3311	386:51138	399:43885	399:43922	399:43933	412:36752	412:36758	421:47508
Bucket 148 [0.574219->0.578125]	386:51186	399:43891	412:36789	412:36800	418:10121	421:47539	421:47550	423:38611	423:38615	442:5087
Bucket 149 [0.578125->0.582031]	374:3259	374:3269	386:51134	399:43877	399:43881	412:36748	416:18959	416:19000	418:10079	421:47500
