# A tibble: 110 × 17
# Groups:   k, totbits, bin [108]
        k totbits   bin     n `BMH1-500000` `BMH1-50000000`     Dash1      FSS1      FSSN   JItrue `PMH1-500000` `PMH1-50000000`      SS1  WJItrue     FSS8   Mash       SS8
    <int>   <dbl> <dbl> <int>         <dbl>           <dbl>     <dbl>     <dbl>     <dbl>    <dbl>         <dbl>           <dbl>    <dbl>    <dbl>    <dbl>  <dbl>     <dbl>
 84    71   32768  0.85  1471        165.            129.    -322.     -165.     -496.      -28.2         141.            128.    -179.     -27.9   -443.    NA     -543.   
 85    71   32768  0.9   6496        395.            245.   -1740.     -128.    -1274.     -433.          290.            241.    -115.    -435.    -538.    NA     -412.   
 86    71   32768  0.95 41978        299.           -393.   -1526.    -1036.    -1433.    -3982.         -388.           -424.    -994.   -3914.   -1219.    NA    -1275.   
 87    71   65536  0.7     41         10.0             9.02    -4.35    -13.3     -15.9       3.03          9.38            9.01    -6.06     3.18   -25.1   NA      -25.1  
 88    71   65536  0.75   159         33.6            29.8    -18.4     -41.2     -40.1      11.0          31.0            29.7    -36.7     11.4    -95.6   NA      -69.9  
 89    71   65536  0.8   1105        189.            163.    -210.     -152.     -346.       33.3         170.            163.    -135.      34.0   -241.    NA     -162.   
 90    71   65536  0.85  1471        165.            129.    -308.      -89.0    -464.      -27.4         141.            128.     -69.8    -29.9   -169.    NA     -246.   
 91    71   65536  0.9   6496        395.            245.   -1450.      -39.9    -847.     -431.          290.            242.     -47.8   -426.    -126.    NA      -95.4  
 92    71   65536  0.95 41978        299.           -391.   -1326.     -965.    -1336.    -3978.         -387.           -421.    -926.   -3910.   -1080.    NA    -1125.   
 93    71  131072  0.7     41         10.0             9.02   -13.9     -11.6     -18.7       3.03          9.39            9.01    -8.89     3.18   -24.2   NA      -24.2  
 94    71  131072  0.75   159         33.6            29.8    -49.8     -43.4     -43.9      11.0          31.0            29.7    -39.7     11.4    -84.0   NA      -58.4  
 95    71  131072  0.8   1105        189.            163.    -361.      -78.1    -283.       34.1         170.            163.     -80.0     35.0    -55.8   NA      -20.6  
 96    71  131072  0.85  1471        164.            129.    -292.      -34.8    -366.      -25.6         142.            128.     -26.4    -26.4    -14.5   NA      -31.2  
 97    71  131072  0.9   6496        395.            245.   -1151.        4.87   -448.     -431.          291.            241.      -6.52  -423.     -21.7   NA       -4.34 
 98    71  131072  0.95 41978        297.           -390.   -1181.     -905.    -1263.    -3978.         -382.           -421.    -917.   -3908.    -996.    NA     -938.   
 99    71  262144  0.7     41         10.0             9.03   -14.9      -8.97    -13.2       3.03          9.39            9.01    -9.02     3.18   -24.2   NA      -24.2  
100    71  262144  0.75   159         33.6            29.8    -42.9     -37.9     -60.8      11.0          31.0            29.7    -34.5     11.4    -59.1   NA      -45.3  
101    71  262144  0.8   1105        189.            163.    -351.      -34.0    -347.       34.2         171.            163.     -53.1     36.9     61.2   NA       42.7  
102    71  262144  0.85  1471        164.            129.    -229.       21.3    -291.      -25.4         142.            128.      21.9    -26.3     38.0   NA       42.9  
103    71  262144  0.9   6496        394.            245.    -776.       15.5    -284.     -431.          292.            242.      12.7   -420.      25.0   NA       30.4  
104    71  262144  0.95 41978        295.           -388.   -1105.     -903.    -1194.    -3977.         -374.           -420.    -878.   -3903.    -914.    NA     -877.   
105    71  524288  0.7     41         10.0             9.03    -9.56    -12.7     -16.9       3.03          9.41            9.01    -9.08     3.18   -24.2   NA      -24.2  
106    71  524288  0.75   159         33.6            29.8    -45.9     -31.2     -53.8      11.0          31.1            29.7    -32.4     11.5    -40.5   NA      -16.4  
107    71  524288  0.8   1105        189.            163.    -306.        0.818  -274.       34.2         171.            163.     -25.0     37.0     83.1   NA       74.7  
108    71  524288  0.85  1471        164.            129.    -137.       38.0    -253.      -26.3         142.            128.      32.0    -26.9     56.5   NA       55.9  
109    71  524288  0.9   6496        394.            245.    -306.       20.3    -140.     -430.          295.            242.      25.4   -420.      34.0   NA       35.1  
110    71  524288  0.95 41978        295.           -388.   -1048.     -883.    -1074.    -3977.         -357.           -420.    -877.   -3903.    -859.    NA     -858.   
