# A tibble: 387 × 10
# Groups:   k, totbits, bin [288]
        k totbits   bin     n       Dash1       FSS1        SS1       FSS8    Mash        SS8
    <int>   <dbl> <dbl> <int>       <dbl>      <dbl>      <dbl>      <dbl>   <dbl>      <dbl>
243    31   65536  0.8   2501  1.85        1.59       1.60       1.62       2.30    1.30     
244    31   65536  0.85  2777  2.96        2.50       2.74       2.10       3.27    2.32     
245    31   65536  0.9   2118  0.700       0.674      0.780      0.432      1.08    0.801    
246    31   65536  0.95  1770  0.435       0.478      0.487      0.432      0.533   0.605    
247    31  131072  0     2617  0.807       0.712      0.710     NA         NA      NA        
248    31  131072  0     2684 NA          NA         NA          2.13       2.16    2.04     
249    31  131072  0.05  2655  0.254       0.179      0.183      0.472      0.450   0.451    
250    31  131072  0.1   2608  0.114       0.0571     0.0575    NA         NA      NA        
251    31  131072  0.1   2595 NA          NA         NA          0.190      0.298   0.222    
252    31  131072  0.15  2493  0.0802      0.0429     0.0477    NA         NA      NA        
253    31  131072  0.15  2470 NA          NA         NA          0.343      0.136   0.166    
254    31  131072  0.2   2517  0.117       0.0427     0.0847    NA         NA      NA        
255    31  131072  0.2   2493 NA          NA         NA          0.264      0.222   0.195    
256    31  131072  0.25  2742  0.116       0.0596     0.0967    NA         NA      NA        
257    31  131072  0.25  2735 NA          NA         NA          0.173      0.379   0.126    
258    31  131072  0.3   2445  0.198       0.138      0.127      0.320      0.266   0.188    
259    31  131072  0.35  2839  0.131       0.191      0.227      0.406      0.416   0.151    
260    31  131072  0.4   2351  0.171       0.193      0.332      0.817      0.338   0.207    
261    31  131072  0.45  2699  0.209       0.174      0.202      0.996      0.457   0.383    
262    31  131072  0.5   2664  0.555       0.239      0.296     NA         NA      NA        
263    31  131072  0.5   2665 NA          NA         NA          0.775      0.569   0.502    
264    31  131072  0.55  2442  0.244       0.174      0.138      0.288      0.383   0.302    
265    31  131072  0.6   2811  0.586       0.545      0.613      0.730      0.752   0.834    
266    31  131072  0.65  2691  0.829       0.760      0.824      1.06       1.07    1.28     
267    31  131072  0.7   2592  0.738       0.775      0.725      1.09       0.650   0.932    
268    31  131072  0.75  2917  1.29        1.60       1.33       1.90       1.13    1.09     
269    31  131072  0.8   2501  1.58        1.54       1.69       1.53       1.81    1.49     
270    31  131072  0.85  2777  2.68        2.41       2.84       2.16       2.90    2.69     
271    31  131072  0.9   2119  0.622       0.701      0.734     NA         NA      NA        
272    31  131072  0.9   2118 NA          NA         NA          0.521      0.983   0.689    
273    31  131072  0.95  1770  0.413       0.468      0.447      0.461      0.506   0.463    
274    31  262144  0     2617  0.786       0.735      0.731     NA         NA      NA        
275    31  262144  0     2663 NA          NA         NA          1.83       1.85    1.78     
276    31  262144  0.05  2650  0.123       0.0898     0.0921    NA         NA      NA        
277    31  262144  0.05  2658 NA          NA         NA          0.396      0.381   0.377    
278    31  262144  0.1   2610  0.0750      0.0456     0.0333    NA         NA      NA        
279    31  262144  0.1   2592 NA          NA         NA          0.114      0.113   0.117    
280    31  262144  0.15  2493  0.0738      0.0460     0.0449    NA         NA      NA        
281    31  262144  0.15  2481 NA          NA         NA          0.217      0.0819  0.110    
282    31  262144  0.2   2519  0.120       0.0481     0.0738    NA         NA      NA        
283    31  262144  0.2   2497 NA          NA         NA          0.160      0.0758  0.101    
284    31  262144  0.25  2743  0.132       0.0735     0.0818    NA         NA      NA        
285    31  262144  0.25  2741 NA          NA         NA          0.169      0.0991  0.0832   
286    31  262144  0.3   2445  0.178       0.153      0.101     NA         NA      NA        
287    31  262144  0.3   2444 NA          NA         NA          0.250      0.0961  0.144    
288    31  262144  0.35  2839  0.123       0.229      0.139      0.328      0.0904  0.175    
