#Calling Dashing2 version v2.1.5.1-7-gaf30 with command '/scratch4/blangme2/dnb/dashing2-experiments/allpairs/thresholded/dashing2 dashing2 sketch --cache -k 11 -o uniprot_sprot.fasta.gz.LSH-assisted.sketches.bin --cmpout uniprot_sprot.fasta.gz.LSH-assisted.topk.matrix -p48 -S1024 --protein14 --nLSH 3 --topk 512 --sig-ram-limit 21474836480 --parse-by-seq uniprot_sprot.fasta.gz'
Parsing amino acid sequences with 14-letter compressed alphabet.
Index building took 143.169s. KNN Generation took 32.8672s
List refinement took 13.2497s.
Emitting list took 120.043s.
#Calling Dashing2 version v2.1.5.1-7-gaf30 with command '/scratch4/blangme2/dnb/dashing2-experiments/allpairs/thresholded/dashing2 dashing2 sketch --cache -k 11 -o uniprot_sprot.fasta.gz.exact.sketches.bin --cmpout uniprot_sprot.fasta.gz.exact.topk.matrix -p48 -S1024 --protein14 --nLSH 3 --topk 512 --sig-ram-limit 21474836480 --parse-by-seq uniprot_sprot.fasta.gz'
Parsing amino acid sequences with 14-letter compressed alphabet.
Finished processing 45056/565254 lines; estimated 13572.1s left
Finished processing 45312/565254 lines; estimated 13563.9s left
Finished processing 45568/565254 lines; estimated 13545.4s left
Finished processing 45824/565254 lines; estimated 13529.9s left
Finished processing 46080/565254 lines; estimated 13517.4s left
Finished processing 46336/565254 lines; estimated 13498.6s left
Finished processing 46592/565254 lines; estimated 13491.2s left
Finished processing 46848/565254 lines; estimated 13471.8s left
Finished processing 47104/565254 lines; estimated 13452.8s left
Finished processing 47360/565254 lines; estimated 13445.6s left
Finished processing 47616/565254 lines; estimated 13435.9s left
Finished processing 47872/565254 lines; estimated 13431.2s left
Finished processing 48128/565254 lines; estimated 13415s left
Finished processing 48384/565254 lines; estimated 13404.9s left
Finished processing 48640/565254 lines; estimated 13401.8s left
Finished processing 48896/565254 lines; estimated 13400.1s left
Finished processing 49152/565254 lines; estimated 13402.6s left
Finished processing 49408/565254 lines; estimated 13404.9s left
Finished processing 49664/565254 lines; estimated 13406.6s left
Finished processing 49920/565254 lines; estimated 13408.9s left
Finished processing 50176/565254 lines; estimated 13400.2s left
Finished processing 50432/565254 lines; estimated 13398.5s left
Finished processing 50688/565254 lines; estimated 13396.4s left
Finished processing 50944/565254 lines; estimated 13392.5s left
Finished processing 51200/565254 lines; estimated 13386s left
Finished processing 51456/565254 lines; estimated 13379.7s left
Finished processing 51712/565254 lines; estimated 13373.6s left
Finished processing 51968/565254 lines; estimated 13356.5s left
Finished processing 52224/565254 lines; estimated 13341.1s left
